PlanId;Plannavn;Plantype;PlantypeId;Planstatus;PlanstatusId;IKraft;Lovreferanse;LovreferanseId;Vertikalnivå;VertikalnivåId;PlanBestemmelse;PlanBestemmelseId
201412;Tangvall sentrum nord;Detaljregulering;35;Endelig vedtatt arealplan;3;28.04.2016;Plan- og bygningsloven av 2008;6;Under grunnen (tunnel), På grunnen/vannoverflaten;1, 2;Planbestemmelser både på kart og som egen tekst;4
201413;Ausvigheia småbåthavn;Detaljregulering;35;Endelig vedtatt arealplan;3;24.09.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201414;Norddalsheia;Detaljregulering;35;Endelig vedtatt arealplan;3;17.12.2015;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201415;Selskjær 16;Detaljregulering;35;Endelig vedtatt arealplan;3;28.04.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201416;Kommunedelplan for E-39, Vollberg-Døle bru;Kommunedelplan;21;Opphevet;4;18.06.2015;Plan- og bygningsloven av 2008;6;;;Planbestemmelser både på kart og som egen tekst;4
201417;Nymoen;Detaljregulering;35;Endelig vedtatt arealplan;3;30.03.2017;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201418;Gamle Årosvei 50, 52, 54 m.fl.;Detaljregulering;35;Endelig vedtatt arealplan;3;26.05.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201419;Mindre reguleringsendring av reguleringsplan og bebyggelsesplan for Kossevigheia;Mindre reguleringsendring;31;Utgått/erstattet;5;03.09.2014;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Uten bestemmelser;2
201501;Vollan - skoletomt;Detaljregulering;35;Endelig vedtatt arealplan;3;04.03.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201502;Storholmen, Røsstad;Detaljregulering;35;Endelig vedtatt arealplan;3;27.10.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201503;Høllen;Detaljregulering;35;Avvist;9;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201504;Østre del av Skarpøya;Detaljregulering;35;Endelig vedtatt arealplan;3;27.04.2017;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201505;Mjåbakken;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201507;Branesveien 38A;Detaljregulering;35;Endelig vedtatt arealplan;3;15.12.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201508;Amfeneset GB 24/14 og 24/60;Detaljregulering;35;Endelig vedtatt arealplan;3;22.06.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201509;Langenesveien 290, 292 og 294;Detaljregulering;35;Endelig vedtatt arealplan;3;28.04.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201510;E39 (Søgne);Detaljregulering;35;Endelig vedtatt arealplan;3;22.06.2017;Plan- og bygningsloven av 2008;6;Under grunnen (tunnel), På grunnen/vannoverflaten, Over grunnen (bru);1, 2, 3;Planbestemmelser både på kart og som egen tekst;4
201512;Tangvall sentrum, del av;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;Under grunnen (tunnel), På grunnen/vannoverflaten;1, 2;Med bestemmelser som egen tekst;1
201513;Sebbetåa - Stokkelandsskogen - FV 456;Detaljregulering;35;Endelig vedtatt arealplan;3;27.09.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten, Over grunnen (bru), På bunnen (vann/sjø);2, 3, 4;Planbestemmelser både på kart og som egen tekst;4
201514;E39-Mjåland - avkjøring;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201515;Skiftodden;Detaljregulering;35;Endelig vedtatt arealplan;3;31.08.2017;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201516;Tangheia og Osebakken - Oftenes;Detaljregulering;35;Endelig vedtatt arealplan;3;19.12.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201601;Øygardsheia nord;Områderegulering;34;Endelig vedtatt arealplan;3;19.12.2019;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201602;Vedderheia nord B22;Detaljregulering;35;Endelig vedtatt arealplan;3;15.12.2016;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201603;Dalsheia;Detaljregulering;35;Uaktuell/trukket;10;;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Med bestemmelser som egen tekst;1
201604;Svarttjønnheia og turveg mot Gratjønn - fortau;Detaljregulering;35;Endelig vedtatt arealplan;3;14.02.2018;Plan- og bygningsloven av 2008;6;På grunnen/vannoverflaten;2;Planbestemmelser både på kart og som egen tekst;4
201605;E39 Kristiansand vest - Søgne øst;Detaljregulering;35;Endelig vedtatt arealplan;3;21.06.2017;Plan- og bygningsloven av 2008;6;Under grunnen (tunnel), På grunnen/vannoverflaten, Over grunnen (bru);1, 3, 2;Planbestemmelser både på kart og som egen tekst;4
